Year,Name,College,POS,Height,Weight,Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2017,Hardy Nickerson,Illinois,LB,71.75,232,10,32,,4.78,18,33,116,4.21,,
2017,David Njoku,Miami (FL),TE,75.75,246,10,35.25,24,4.64,21,37.5,133,4.34,6.97,
2017,Speedy Noil,Texas A&M,WR,71.13,199,9.25,30,,,18,43.5,133,,,
2017,Bradley Northnagel,California,LS,74,243,10,32.5,,5.3,,25.5,99,4.33,,
2017,Noble Nwachukwu,West Virginia,DE,73,268,9,33.13,,4.83,27,30.5,110,4.37,,
2017,Ifeadi Odenigbo,Northwestern,DL,75.13,258,10.5,32.63,,4.72,25,31.5,128,,7.26,
2017,Dare Ogunbowale,Wisconsin,RB,70.75,213,9.13,31.38,36,4.65,14,35,120,4.34,6.99,11.75
2017,Larry Ogunjobi,North Carolina Charlotte,DT,74.63,305,10,32.63,,4.97,26,32,116,4.72,7.55,
2017,Tyler Orlosky,West Virginia,C,75.13,298,9.75,32.25,,,24,,,3.89,,11.14
2017,Scott Orndoff,Pittsburgh,TE,76.75,253,10,33.25,,4.84,17,27,112,4.45,7.37,
2017,Zach Pascal,Old Dominion (VA),WR,73.75,219,10,32,,4.55,14,36,126,4.29,7.11,
2017,Jabrill Peppers,Michigan,LB,71.38,213,9.63,30.75,26,4.46,19,35.5,128,,,
2017,Samaje Perine,Oklahoma,RB,70.63,233,10,30.38,,4.65,30,33,116,4.37,7.26,
2017,Nathan Peterman,Pittsburgh,QB,74.63,226,9.88,32,33,4.82,,31,110,4.31,7.14,
2017,Caleb Peterson,North Carolina,OG,77,300,,,,,,,,4.84,,
2017,Carroll Phillips,Illinois,DE,75.25,242,9.75,33,10,4.64,23,30,123,4.41,7.06,
2017,Antonio Pipkin,Tiffin (OH),QB,73,225,10,32.25,,,,,,,,
2017,Hayden Plinke,Texas-El Paso,TE,75.75,264,10,32.5,,4.97,18,28,109,4.59,7.55,
2017,Ethan Pocic,Louisiana State,C,78,310,10.13,33.13,29,5.15,26,27,107,4.81,7.89,
2017,Ejuan Price,Pittsburgh,DE,70.88,241,10,32.75,,4.84,20,31.5,117,4.31,,11.84
2017,Donnel Pumphrey,San Diego State,RB,68.25,176,8.5,29,21,4.48,5,33.5,117,4.46,,12.03
2017,Elijah Qualls,Washington,DT,73.13,313,9.38,30.63,,5.13,33,31.5,105,4.57,7.65,
2017,James Quick,Louisville,WR,72.25,186,9,30.75,,4.6,11,31,115,4.39,7,
2017,Ryan Ramczyk,Wisconsin,OT,77.75,310,10.88,33.75,20,,25,,,4.82,,
2017,Michael Rector,Stanford,WR,72.13,193,9.25,32.5,,4.42,,36.5,129,4.19,6.77,
2017,Haason Reddick,Temple,DE,73.25,237,10.13,32.75,21,4.52,24,36.5,133,5,7.01,
2017,Devine Redding,Indiana,RB,68.25,205,9.63,29.25,,4.76,16,30.5,116,4.46,7.18,11.21
2017,Jalen Reeves-Maybin,Tennessee,LB,72.25,230,9.63,32.25,,,,,,,,
2017,Austin Rehkow,Idaho,P,74.63,214,9.88,31.88,,,,,,4.47,,
2017,Josh Reynolds,Texas A&M,WR,74.75,194,9.38,31.5,,4.52,,37,124,4.13,6.83,11.68
2017,Duke Riley,Louisiana State,OLB,72.25,232,9.25,32,,4.58,18,34.5,122,,6.89,
2017,Derek Rivers,Youngstown State (OH),DE,76.13,248,9.38,32.75,,4.61,30,35,123,,6.94,
2017,Michael Roberts,Toledo,TE,76.38,270,11.5,33,,4.86,,30,110,4.51,7.05,
